,horizonte,rodal_id,Zona,SiteIndex,Especie,Edad,Manejo,Biomasa
310,30,rodal_7,6,32,Pinus,34,Intensivo,0.0
311,31,rodal_7,6,32,Pinus,35,Intensivo,0.0
312,32,rodal_7,6,32,Pinus,36,Intensivo,0.0
313,33,rodal_7,6,32,Pinus,37,Intensivo,0.0
314,34,rodal_7,6,32,Pinus,38,Intensivo,0.0
315,35,rodal_7,6,32,Pinus,39,Intensivo,0.0
316,36,rodal_7,6,32,Pinus,40,Intensivo,0.0
317,37,rodal_7,6,32,Pinus,41,Intensivo,0.0
318,38,rodal_7,6,32,Pinus,42,Intensivo,0.0
319,39,rodal_7,6,32,Pinus,43,Intensivo,0.0
320,0,rodal_8,7,23,Pinus,6,Pulpable,0.0
321,1,rodal_8,7,23,Pinus,7,Pulpable,11.565926218824828
322,2,rodal_8,7,23,Pinus,8,Pulpable,50.1279624704151
323,3,rodal_8,7,23,Pinus,9,Pulpable,87.94323918653001
324,4,rodal_8,7,23,Pinus,10,Pulpable,125.1072626945153
325,5,rodal_8,7,23,Pinus,11,Pulpable,161.69499625379578
326,6,rodal_8,7,23,Pinus,12,Pulpable,197.76674895029117
327,7,rodal_8,7,23,Pinus,13,Pulpable,233.37202452988822
328,8,rodal_8,7,23,Pinus,14,Pulpable,268.5521402171853
329,9,rodal_8,7,23,Pinus,15,Pulpable,303.34206872197444
330,10,rodal_8,7,23,Pinus,16,Pulpable,337.77177043718046
331,11,rodal_8,7,23,Pinus,17,Pulpable,371.86718004578245
332,12,rodal_8,7,23,Pinus,18,Pulpable,405.65095228013405
333,13,rodal_8,7,23,Pinus,19,Pulpable,439.14303576135615
334,14,rodal_8,7,23,Pinus,20,Pulpable,472.3611215234364
335,15,rodal_8,7,23,Pinus,21,Pulpable,505.32099849062126
336,16,rodal_8,7,23,Pinus,22,Pulpable,538.0368387246166
337,17,rodal_8,7,23,Pinus,23,Pulpable,570.5214288792805
338,18,rodal_8,7,23,Pinus,24,Pulpable,0.0
339,19,rodal_8,7,23,Pinus,25,Pulpable,0.0
340,20,rodal_8,7,23,Pinus,26,Pulpable,0.0
341,21,rodal_8,7,23,Pinus,27,Pulpable,0.0
342,22,rodal_8,7,23,Pinus,28,Pulpable,0.0
343,23,rodal_8,7,23,Pinus,29,Pulpable,0.0
344,24,rodal_8,7,23,Pinus,30,Pulpable,0.0
345,25,rodal_8,7,23,Pinus,31,Pulpable,0.0
346,26,rodal_8,7,23,Pinus,32,Pulpable,0.0
